time,signal1,signal2
111,-0.89,0.78
112,-4.16,-2.26
113,0.04,-3.35
114,0.79,-3.00
115,-0.53,0.03
116,-1.48,4.13
117,-1.51,2.56
118,1.85,-0.47
119,-0.61,-0.75
120,-0.20,-1.80
121,1.01,0.77
122,1.13,-5.39
123,3.84,5.02
124,-2.16,-0.50
125,-3.08,-2.21
126,-0.63,4.65
127,-2.54,0.13
128,2.45,1.17
129,1.90,-2.23
130,0.34,0.56
131,2.56,0.53
132,-0.61,-2.53
133,-3.30,3.20
134,-0.61,-0.49
135,2.90,-0.40
136,-0.61,0.19
137,1.58,-3.84
138,0.97,1.10
139,4.26,-1.17
140,2.64,-3.50
141,2.80,-1.47
142,-4.22,-1.12
143,0.07,-1.29
144,-2.39,-0.65
145,-2.05,0.38
146,3.48,-1.01
147,-0.66,-1.37
148,-0.80,-0.17
149,-0.02,0.44
150,-0.92,-1.37
151,-2.53,0.80
152,-1.06,0.05
153,4.39,0.96
154,0.20,-0.37
155,1.89,-1.70
156,2.54,3.95
157,1.69,-1.39
158,2.38,0.38
159,-0.27,-0.93
160,-0.87,3.98
161,2.87,0.31
162,-4.75,2.55
163,0.60,0.84
164,1.92,-1.75
165,4.44,3.07
166,6.00,1.74
167,0.32,-1.14
168,3.58,-0.12
169,0.03,0.12
170,-2.67,1.92
171,2.69,0.07
172,2.51,0.97
173,-4.61,-0.70
174,0.70,2.19
175,0.12,0.34
176,1.54,2.93
177,3.63,3.00
178,0.44,1.38
179,-1.96,1.85
180,4.31,1.02
181,-0.27,2.24
182,0.08,2.45
183,0.98,-0.89
184,-5.17,-0.65
185,-3.57,-2.45
186,1.19,-1.58
187,0.37,2.81
188,1.31,-3.66
189,-3.66,-1.76
190,-1.37,-0.90
191,0.05,-0.52
192,-2.54,1.35
193,6.34,1.81
194,-3.93,2.25
195,4.64,3.26
196,1.98,0.44
197,-0.41,0.33
198,1.66,-0.85
199,-3.50,-1.34
200,1.37,-2.22
201,-4.94,2.93
202,-1.13,2.73
203,-3.61,-1.78
204,-0.73,-2.19
205,1.84,3.98
206,-6.41,-2.65
207,1.28,1.22
208,0.82,-1.90
209,3.28,4.11
210,2.16,1.45
211,-0.31,1.08
212,-3.46,-1.04
213,2.64,-1.75
214,2.58,-3.21
215,0.89,2.63
216,-1.91,-0.96
217,-1.13,-0.41
218,2.70,2.51
219,-0.49,0.67
220,1.26,0.56
221,-2.76,0.58
222,2.39,-3.03
223,-0.67,-2.50
224,-1.70,-0.45
225,1.30,2.19
226,1.85,1.23
227,2.91,4.60
228,1.52,-0.74
229,1.22,-1.54
230,0.95,0.05
231,-0.26,-2.40
232,-2.15,0.49
233,-3.12,-2.07
234,-0.49,-0.10
235,0.60,1.47
236,0.33,-0.04
237,1.75,0.40
238,-3.27,-0.89
239,-0.24,-0.07
240,-1.61,-1.25
241,2.83,0.97
242,-2.40,0.05
243,0.71,-2.08
244,-0.44,1.63
245,0.60,-1.25
246,-0.95,-1.31
247,1.43,-3.60
248,0.78,-1.20
249,0.01,-0.15
250,0.68,-1.76
251,1.33,2.34
252,1.40,-2.24
253,0.50,0.52
254,2.17,-1.59
255,0.51,2.78
256,-1.34,3.24
257,-1.36,0.26
258,0.31,-1.75
259,1.18,-0.26
260,-1.45,0.87
261,0.57,-0.39
262,1.72,-2.12
263,3.07,-2.02
264,-3.24,-1.77
265,1.77,1.31
266,-0.58,0.98
267,-0.46,0.34
268,1.59,-1.47
269,-1.58,-2.02
270,-0.25,-2.75
271,5.10,0.80
272,-1.60,2.89
273,-0.41,0.53
274,0.24,1.08
275,-0.70,3.71
276,-0.50,1.83
277,0.80,-0.22
278,-2.05,3.05
279,-1.06,2.74
280,1.01,1.04
281,-1.27,-3.94
282,1.78,-0.32
283,-0.78,0.05
284,-1.02,0.85
285,2.32,0.14
286,-6.13,-3.03
287,2.81,1.07
288,0.59,-2.87
289,-2.49,0.34
290,-3.55,-0.44
291,3.72,-1.52
292,0.66,0.93
293,-0.69,2.58
294,2.19,-0.40
295,3.73,-0.79
296,-1.91,3.37
297,1.44,2.65
298,2.80,-1.81
299,0.06,0.42
300,0.33,1.40
301,2.70,-0.87
302,-1.58,0.40
303,-0.54,0.50
304,1.45,1.65
305,1.07,0.03
306,-2.11,-3.03
307,2.56,2.22
308,-1.39,-0.72
309,2.34,4.31
310,-2.10,2.53
311,1.73,-2.56
312,-0.21,1.44
313,-1.59,3.50
314,0.40,6.22
315,2.36,0.91
316,-3.54,2.12
317,-1.06,0.65
318,8.51,-1.43
319,2.28,0.93
320,-3.09,1.99
321,2.95,-1.23
322,-0.90,2.67
323,0.31,0.14
324,1.09,-2.99
325,4.38,2.16
326,-2.21,-2.27
327,-0.94,3.15
328,-3.82,-1.66
329,0.74,2.37
330,-1.49,0.13
331,-0.25,-2.03
332,-0.89,-1.55
333,-0.73,-0.10
334,0.52,-0.24
335,1.12,1.73
336,0.92,0.05
337,-0.42,0.22
338,-0.16,-1.88
339,3.42,-0.78
340,0.36,0.57
341,2.87,3.41
342,5.61,-1.36
343,1.85,0.42
344,-1.00,-2.13
345,-1.10,-0.70
346,0.53,-0.06
347,-1.50,-1.09
348,4.16,-2.53
349,-2.26,-0.78
350,3.28,-5.33
351,3.20,-0.43
352,2.57,2.00
353,0.73,-2.88
354,3.08,4.85
355,1.88,-2.21
356,2.04,0.50
357,1.77,0.71
358,-0.23,-1.31
359,3.93,-0.29
360,-4.41,1.27
361,3.22,-0.28
362,-0.41,-0.53
363,0.33,-1.97
364,-3.26,-0.65
365,-1.59,0.31
366,-0.36,1.61
367,0.49,-0.40
368,2.07,-1.73
369,-1.72,-1.18
370,0.20,-0.05
371,-2.79,1.73
372,-1.37,-4.62
373,-1.31,1.64
374,-0.67,-0.59
375,-1.68,-2.26
376,2.84,-0.17
377,-0.97,3.88
378,0.95,-3.61
379,-2.63,0.79
380,2.61,-1.49
381,-4.12,3.12
382,1.93,-1.13
383,0.47,2.21
384,0.15,-3.84
385,0.62,0.99
386,-3.48,1.83
387,2.75,0.77
388,-4.08,-0.59
389,0.81,3.08
390,3.98,-0.49
391,-1.75,-1.53
392,-0.24,0.95
393,2.89,4.33
394,-1.24,-1.13
395,-1.09,-0.99
396,-0.31,-0.74
397,-3.56,-0.18
398,0.37,0.11
399,-0.10,0.47
400,-0.41,3.46
401,-2.47,0.51
402,-3.13,-2.14
403,1.62,-1.13
404,-0.39,-1.92
405,-2.41,0.04
406,-0.30,2.29
407,0.42,1.24
408,3.90,0.25
409,-0.72,0.60
410,0.35,-2.25
411,1.09,0.58
412,4.32,3.12
413,-1.91,0.09
414,1.84,-0.94
415,0.72,-0.18
416,-1.84,-2.14
417,0.43,2.51
418,-1.60,0.12
419,-1.24,-3.34
420,-0.35,0.60
421,0.72,2.45
422,-0.75,-0.84
423,1.23,-0.12
424,2.80,-3.89
425,1.68,-0.42
426,3.43,-1.31
427,-1.89,-0.27
428,-1.16,-0.69
429,-1.86,0.99
430,-8.98,-2.43
431,-2.36,3.04
432,0.04,2.66
433,2.27,-3.27
434,-0.35,-0.71
435,-2.49,-3.55
436,1.19,0.36
437,-1.32,0.52
438,5.42,3.45
439,0.77,0.73
440,-0.93,2.93
441,-1.59,-1.38
442,-1.31,1.72
443,2.18,0.46
444,0.86,-1.85
445,2.73,1.77
446,-0.06,-0.99
447,-2.42,-3.15
448,-0.03,-0.70
449,-1.28,-1.21
450,-0.77,-3.34
451,-3.98,-1.76
452,1.86,1.04
453,1.76,-1.24
454,1.79,1.40
455,2.82,-0.70
456,3.87,-2.66
457,-2.60,2.82
458,2.96,0.42
459,-0.82,-1.20
460,1.82,0.51
461,0.01,1.25
462,0.69,1.72
463,1.11,0.39
464,-1.15,0.84
465,-1.04,0.77
466,-3.70,-1.76
467,0.61,3.86
468,-0.23,-0.01
469,-1.91,-3.28
470,0.80,1.68
471,0.67,-1.46
472,-1.02,3.65
473,1.74,2.13
474,1.50,2.54
475,1.71,-1.58
476,-2.67,-3.06
477,0.17,-1.37
478,0.62,-1.73
479,0.90,1.00
480,1.92,2.51
481,3.01,1.90
482,1.03,-3.34
483,0.54,1.18
484,2.22,-0.18
485,1.62,0.26
486,3.01,-0.51
487,-2.58,-0.74
488,0.61,-1.53
489,-3.96,2.10
490,5.93,0.82
491,-0.71,-0.66
492,0.51,1.58
493,0.54,-2.29
494,3.08,1.29
495,-0.02,3.25
496,-3.06,2.56
497,-1.14,1.37
498,1.00,-0.55
499,-0.55,-3.49
500,-0.61,-2.72
501,1.20,-2.78
502,-2.84,1.32
503,0.80,0.01
504,0.65,-1.13
505,0.59,1.16
506,-6.71,2.46
507,0.87,-0.73
508,1.68,0.46
509,0.07,-5.11
510,-3.42,1.22
511,0.45,2.04
512,-0.60,4.45
513,0.64,1.76
514,-3.15,-1.62
515,3.40,1.60
516,3.28,3.53
517,-3.18,2.57
518,1.56,-1.19
519,-1.57,-6.09
520,-0.29,-3.31
521,0.60,-0.53
522,-1.56,-0.61
523,-3.17,0.40
524,-1.19,3.42
525,-2.87,-2.66
526,-0.72,-1.24
527,-0.52,3.23
528,-0.78,0.43
529,-0.21,0.35
530,2.04,-0.50
531,0.61,0.16
532,2.14,2.56
533,0.36,-1.55
534,-2.14,2.64
535,-0.12,2.17
536,-4.00,0.57
537,-1.09,2.42
538,-0.31,-3.63
539,2.53,-1.83
540,2.15,1.34
541,1.17,-1.71
542,1.25,0.87
543,1.40,-2.40
544,-1.12,-0.60
545,-2.90,-1.35
546,3.00,0.01
547,0.40,1.36
548,-3.77,1.68
549,1.82,-1.85
550,-4.61,-1.32
551,2.33,0.85
552,0.62,-0.35
553,-4.60,0.43
554,-1.25,0.59
555,0.40,-0.57
556,0.38,0.66
557,0.25,2.76
558,2.12,0.58
559,3.00,-1.40
560,3.74,0.68
561,1.72,-0.82
562,0.52,-0.34
563,0.42,0.13
564,-3.05,3.52
565,-1.96,-0.84
566,0.16,-1.54
567,2.99,-2.50
568,-0.67,-0.19
569,0.18,0.46
570,1.11,0.40
571,1.82,1.42
572,-2.83,-2.43
573,-3.20,1.60
574,1.55,-2.07
575,-2.54,0.86
576,0.54,1.38
577,1.24,-0.95
578,0.70,-1.52
579,-0.59,-6.12
580,3.37,-3.03
581,3.81,1.36
582,0.61,-0.72
583,1.53,-1.43
584,-1.75,-2.27
585,0.76,-0.72
586,5.67,-1.17
587,0.71,1.38
588,-1.85,0.94
589,0.45,-1.17
590,1.16,0.97
591,0.92,2.13
592,1.61,-3.07
593,0.01,-2.68
594,2.29,1.89
595,2.41,-1.00
596,1.79,0.16
597,5.26,-0.37
598,-0.79,-1.38
599,-1.68,1.44
600,3.55,-1.07
601,2.54,-0.68
602,1.78,2.71
603,-1.06,0.24
604,1.40,0.30
605,-2.37,-0.27
606,1.33,0.25
607,-0.03,3.47
608,0.85,1.08
609,-1.95,-1.78
610,-3.19,0.24
611,0.26,-0.10
612,-6.37,-1.06
613,-2.52,1.49
614,-0.57,-1.70
615,1.80,1.05
616,4.69,1.44
617,-0.98,0.61
618,0.64,1.43
619,2.13,2.11
620,2.39,0.74
621,-1.58,-1.94
622,4.48,0.59
623,-2.85,-2.37
624,0.66,-0.54
625,1.00,-1.10
626,0.29,0.98
627,0.55,2.48
628,-0.48,2.10
629,-1.49,1.64
630,-0.83,-1.85
631,-0.58,-1.62
632,-0.34,-0.40
633,2.98,-3.12
634,-1.47,2.30
635,-1.99,-1.49
636,-1.49,-0.45
637,1.56,0.59
638,-1.75,1.95
639,-1.31,-3.84
640,-0.68,-1.24
641,-2.29,1.17
642,-0.59,-0.73
643,-0.00,1.03
644,-4.57,1.08
645,0.19,1.93
646,2.88,-0.03
647,-1.44,0.34
648,-1.59,-0.39
649,-4.54,0.98
650,1.98,-0.18
651,-1.03,2.54
652,-3.68,3.14
653,-0.29,-3.54
654,0.45,0.23
655,-0.15,-2.13
656,-1.42,6.32
657,-1.28,1.12
658,-2.13,0.44
659,-0.56,-0.95
660,1.63,1.38
661,1.23,0.97
662,2.60,-1.57
663,-0.65,0.46
664,2.35,-0.43
665,2.17,-3.17
666,1.40,1.14
667,-1.31,-0.45
668,0.41,2.15
669,2.24,2.32
670,-4.26,1.36
671,0.05,1.77
672,-1.05,1.52
673,4.75,-1.03
674,-1.56,0.43
675,-0.01,-2.00
676,-1.01,0.18
677,1.24,0.71
678,-2.11,-2.88
679,0.14,1.93
680,-1.85,0.57
681,1.22,0.58
682,-3.00,1.62
683,-3.18,-3.94
684,-2.86,0.88
685,0.57,0.65
686,-5.08,2.71
687,-0.52,-2.13
688,0.21,-2.87
689,-1.87,0.52
690,-3.30,-2.38
691,4.18,0.34
692,-2.58,-0.87
693,1.82,0.45
694,3.21,-0.79
695,-0.41,0.62
696,-3.62,-3.22
697,-2.51,0.94
698,0.62,-1.77
699,0.22,0.81
700,-0.78,2.06
701,1.10,1.05
702,0.65,1.27
703,1.29,-0.95
704,-0.52,0.52
705,1.56,-0.41
706,-0.05,1.85
707,1.46,-0.63
708,1.89,1.57
709,-0.66,-0.44
710,-1.08,0.06
711,-3.19,-0.45
712,-0.45,-1.25
713,1.98,-1.02
714,-0.08,1.83
715,-1.01,-1.27
716,1.04,0.65
717,4.23,-1.42
718,-0.66,1.23
719,2.69,-0.11
720,-1.57,-0.57
721,-0.70,0.05
722,-1.30,-2.70
723,-0.77,-0.05
724,-1.59,-2.29
725,-0.38,2.99
726,-3.40,-2.01
727,-3.32,1.69
728,-2.74,1.70
729,1.62,-0.41
730,0.40,-0.73
731,-2.77,2.06
732,3.04,-2.48
733,0.87,1.41
734,0.80,1.06
735,1.27,-0.87
736,4.00,-4.26
737,1.45,-2.93
738,0.21,1.13
739,-2.08,-1.39
740,-2.57,-2.07
741,-0.50,-0.47
742,1.68,2.08
743,-3.20,1.18
744,3.17,3.74
745,-2.71,3.37
746,-1.10,-3.60
747,0.56,0.59
748,-1.00,1.12
749,0.38,-0.34
750,-1.14,-0.96
751,0.68,2.44
752,1.28,2.11
753,-5.85,-0.60
754,-3.60,1.23
755,1.44,0.89
756,-4.48,2.46
757,-1.12,-0.23
758,-4.84,-3.58
759,0.15,0.52
760,0.20,-0.58
761,0.35,-2.78
762,-1.56,-1.21
763,0.47,1.65
764,-1.01,-1.19
765,2.51,-0.25
766,1.36,0.82
767,-2.04,1.93
768,3.10,1.39
769,3.43,2.54
770,2.76,-0.42
771,-3.83,-0.44
772,0.78,1.57
773,-6.16,-3.88
774,0.78,1.52
775,-2.56,-0.84
776,-2.09,1.49
777,1.28,-2.44
778,-3.58,1.20
779,-0.42,-1.38
780,-0.15,-2.10
781,0.01,1.42
782,1.99,0.62
783,0.70,-1.06
784,2.95,-0.96
785,-0.90,-0.29
786,3.61,2.52
787,-0.86,2.00
788,1.70,2.60
789,-0.73,-0.82
790,-1.54,-0.18
791,1.39,-0.75
792,-0.34,-0.76
793,-1.64,-2.77
794,1.62,1.51
795,-1.91,-2.01
796,-0.10,0.65
797,-0.59,1.06
798,0.92,-3.03
799,-1.05,0.66
800,-0.47,-0.98
801,-2.35,-3.89
802,-1.83,-1.04
803,-0.65,0.76
804,3.45,-0.95
805,2.09,-1.07
806,0.12,1.28
807,-1.58,0.15
808,-1.59,-0.34
809,1.23,1.39
810,-4.08,-0.96
811,2.97,0.17
812,0.86,-0.67
813,-0.88,0.07
814,-1.34,0.07
815,-1.55,1.34
816,-1.49,0.61
817,2.21,-0.29
818,-3.09,0.98
819,1.96,-0.14
820,-2.30,-0.03
821,-0.05,-0.21
822,-2.01,2.10
823,1.53,4.69
824,-2.40,2.05
825,0.87,-2.39
826,2.12,-2.59
827,4.36,-3.62
828,0.63,0.44
829,0.88,-0.14
830,2.13,1.18
831,-4.34,1.44
832,2.31,-1.10
833,-2.70,0.83
834,-0.24,2.99
835,-1.13,-2.68
836,0.73,-1.58
837,-0.06,-0.65
838,1.09,0.44
839,-1.51,-1.67
840,2.34,1.27
841,7.47,-0.31
842,-4.25,0.10
843,1.78,-2.49
844,-1.05,-2.61
845,-0.34,2.19
846,-2.64,-0.69
847,-2.91,5.25
848,-0.91,1.15
849,1.24,-1.65
850,0.19,-3.07
851,0.53,-4.26
852,4.10,1.48
853,1.33,1.69
854,-4.02,-1.84
855,-2.61,0.67
856,0.83,0.85
857,2.81,0.30
858,2.06,0.53
859,-0.05,0.75
860,1.22,-3.27
861,1.39,-0.28
862,0.35,-1.67
863,4.79,-1.62
864,-2.01,2.16
865,-0.98,0.76
866,-0.46,1.27
867,-1.94,1.69
868,-0.15,0.08
869,2.13,-6.37
870,0.18,0.72
871,-2.34,0.30
872,0.64,-3.83
873,-4.06,-2.23
874,0.58,2.05
875,2.94,-0.39
876,-2.01,5.16
877,0.55,-0.83
878,3.12,-4.45
879,-1.84,0.76
880,-1.80,-4.04
881,0.38,-0.42
882,-1.61,0.39
883,-1.13,-1.19
884,-0.83,3.98
885,3.53,0.93
886,1.33,-3.38
887,1.86,-1.34
888,-1.98,-0.27
889,-2.09,2.49
890,-1.01,-0.22
891,-1.36,-0.82
892,-4.10,-2.74
893,3.53,-3.27
894,-2.32,-0.83
895,1.92,2.87
896,-0.94,-1.44
897,-2.04,-0.86
898,1.50,-2.79
899,3.55,-0.87
900,1.16,-1.39
901,-1.25,-0.57
902,1.10,1.79
903,-0.06,0.63
904,-0.02,-1.12
905,-0.60,1.88
906,1.48,-3.06
907,-4.04,2.01
908,1.38,-0.09
909,-2.98,2.09
910,-0.74,0.51
911,-1.64,1.04
912,0.08,-1.52
913,4.86,-1.02
914,2.25,3.83
915,-2.13,1.29
916,-3.18,0.29
917,2.31,-0.34
918,-2.14,-0.58
919,2.19,-0.23
920,-2.80,-1.51
921,4.45,0.41
922,-0.88,-1.53
923,0.29,3.51
924,-0.22,-2.16
925,-0.89,1.17
926,-1.59,0.52
927,4.31,-2.52
928,-1.25,3.64
929,-1.09,0.83
930,-1.97,-0.19
931,1.21,0.53
932,-4.79,-2.77
933,0.41,0.47
934,-3.04,2.72
935,-2.28,-0.04
936,-0.87,3.16
937,1.35,-4.16
938,-0.92,-1.47
939,2.19,1.38
940,2.29,-2.92
941,4.83,-1.76
942,-4.13,0.18
943,3.18,-0.60
944,-0.79,-5.14
945,-0.20,-1.57
946,-0.48,-1.53
947,-0.71,0.90
948,0.65,-0.14
949,2.71,-0.10
950,2.75,-3.76
951,-1.53,-1.72
952,-1.66,2.30
953,-1.13,-0.47
954,-1.74,-0.82
955,-4.19,-3.05
956,-0.22,-1.71
957,-0.32,0.44
958,-1.43,-1.31
959,-0.34,-2.67
960,1.15,-2.86
961,1.46,0.92
962,2.80,1.48
963,-3.03,4.26
964,3.01,3.09
965,-1.11,4.38
966,0.17,-0.59
967,4.83,-0.48
968,3.13,0.12
969,-1.95,-0.64
970,0.19,-2.26
971,-3.85,-1.16
972,1.88,-2.78
973,1.68,-1.33
974,0.14,-2.56
975,4.64,-2.45
976,1.16,-0.33
977,-1.62,-1.09
978,0.34,-0.50
979,-3.03,-2.16
980,1.58,-0.93
981,-1.30,-0.82
982,-0.29,1.74
983,1.57,-1.66
984,-0.16,-2.21
985,-3.92,-5.59
986,1.33,0.62
987,2.65,1.34
988,3.00,-1.84
989,0.17,0.31
990,3.27,0.82
991,1.02,-0.36
992,1.45,-0.60
993,2.09,2.20
994,1.36,-3.22
995,-3.96,1.04
996,-0.81,-0.04
997,-3.09,-4.45
998,0.38,4.15
999,0.48,-0.53
1000,0.49,1.48
1001,2.28,1.27
1002,1.26,-1.09
1003,3.90,-0.18
1004,-0.14,-1.26
1005,1.42,-0.69
1006,1.08,-0.62
1007,3.59,-0.15
1008,1.46,2.10
1009,3.12,-0.72
1010,2.07,-3.07
1011,-1.22,0.61
1012,2.46,0.83
1013,0.68,0.07
1014,-0.49,-1.87
1015,-1.30,-0.02
1016,-1.00,1.04
1017,1.04,-0.85
1018,-3.80,-1.87
1019,-0.76,-1.42
1020,1.63,-1.82
1021,-0.87,3.51
1022,3.13,1.89
1023,-2.77,4.04
1024,0.01,0.64
1025,2.91,-2.13
1026,3.14,-2.53
1027,0.96,-1.62
1028,-1.07,2.47
1029,-1.43,-0.61
1030,0.14,-3.34
1031,2.27,-2.57
1032,1.42,0.54
1033,-6.38,-0.52
1034,2.38,0.93
1035,-0.91,2.58
1036,1.00,-1.60
1037,0.80,3.92
1038,-0.67,-1.21
1039,1.90,-1.83
1040,-1.41,0.08
1041,-0.30,-0.09
1042,2.30,2.39
1043,2.49,0.25
1044,-0.77,-0.69
1045,0.54,-1.22
1046,-3.35,3.34
1047,0.92,3.14
1048,-2.43,3.01
1049,0.61,-1.51
1050,-1.73,1.22
1051,-0.87,0.76
1052,1.33,3.78
1053,-4.28,0.72
1054,-0.61,2.88
1055,0.91,-1.56
1056,-1.48,-0.59
1057,-2.01,2.47
1058,-1.38,-2.60
1059,-2.40,-2.74
1060,-1.96,-1.43
1061,-2.80,3.40
1062,2.16,-2.99
1063,-1.35,-1.95
1064,0.98,0.05
1065,1.06,1.45
1066,0.78,0.95
1067,-1.49,1.13
1068,-1.99,1.53
1069,1.68,-0.37
1070,1.11,0.53
1071,-2.77,1.98
1072,0.62,-0.81
1073,1.24,-0.53
1074,0.77,1.41
1075,-1.29,2.32
1076,-2.22,2.74
1077,0.41,-1.95
1078,-0.10,-0.60
1079,-2.87,-2.55
1080,2.58,-0.65
1081,-1.63,-0.96
1082,-2.25,-1.85
1083,0.22,0.11
1084,-1.32,0.97
1085,-1.25,0.77
1086,-1.09,1.14
1087,0.38,2.18
1088,-2.34,-1.38
1089,3.59,-1.65
1090,3.72,1.60
1091,-2.19,2.02
1092,-0.81,1.72
1093,-1.94,1.58
1094,-0.31,3.76
1095,-3.22,-1.24
1096,2.05,0.13
1097,-4.18,2.09
1098,-2.84,-0.92
1099,1.41,-2.99
1100,-2.52,-3.25
1101,-2.71,-1.81
1102,1.57,-2.50
1103,1.67,-0.81
1104,2.85,0.82
1105,-4.17,-1.70
1106,-1.52,-1.47
1107,1.43,1.15
1108,1.53,2.77
1109,0.52,5.03
1110,1.06,0.56
1111,0.15,0.27
1112,1.95,-0.70
1113,-2.69,0.35
1114,-3.63,1.63
1115,1.22,4.90
1116,-1.67,-1.21
1117,0.47,1.99
1118,1.40,-0.00
1119,6.52,-1.25
1120,1.64,5.15
1121,-1.65,-2.65
1122,6.45,2.43
1123,1.16,-0.76
1124,-1.02,0.67
1125,0.71,0.02
1126,-0.07,0.27
1127,0.56,-4.02
1128,-0.64,-7.12
1129,-1.25,0.24
1130,3.40,1.10
1131,-1.48,-1.64
1132,0.51,-2.16
1133,2.71,-0.47
1134,1.22,-1.15
1135,-0.17,0.28
1136,2.47,0.73
1137,-1.13,2.92
1138,-0.87,-1.02
1139,-0.82,0.22
1140,-2.94,3.48
1141,-3.47,-0.79
1142,-0.28,-0.04
1143,-2.26,1.61
1144,2.35,3.02
1145,3.87,-1.36
1146,1.39,-0.35
1147,-3.67,-0.84
1148,-1.57,-3.31
1149,3.74,-1.19
1150,2.06,0.43
1151,0.04,1.07
1152,0.40,-3.63
1153,-3.61,-1.20
1154,2.60,-2.00
1155,1.80,2.78
1156,2.03,0.01
1157,0.04,1.31
1158,-1.60,-0.91
1159,1.90,-0.62
1160,-0.21,-1.96
1161,-0.59,-2.35
1162,1.77,-1.38
1163,-1.61,-0.76
1164,-1.69,-3.27
1165,0.82,1.98
1166,5.43,1.93
1167,-0.85,-1.55
1168,4.11,-2.93
1169,-1.92,2.75
1170,4.00,0.86
1171,-0.49,-1.12
1172,0.61,1.02
1173,0.89,0.70
1174,-0.29,2.14
1175,1.06,-1.73
1176,-0.20,-0.03
1177,2.21,1.07
1178,4.79,1.88
1179,-1.57,-0.93
1180,-0.93,0.84
1181,0.42,-3.61
1182,0.73,-0.47
1183,0.82,-0.34
1184,3.26,-1.17
1185,4.40,-0.20
1186,-4.31,2.20
1187,1.80,4.44
1188,0.61,2.68
1189,-1.04,-1.27
1190,1.77,1.10
1191,3.34,-0.82
1192,-2.25,-0.15
1193,2.21,1.92
1194,1.32,1.33
1195,2.88,-0.26
1196,2.52,4.66
1197,1.54,0.57
1198,0.84,0.82
1199,-1.84,-0.80
1200,-2.75,-1.40
1201,-1.77,0.65
1202,-0.64,-0.47
1203,0.12,-0.88
1204,-1.83,-0.74
1205,-0.04,-2.27
1206,1.14,2.41
1207,1.88,0.11
1208,4.38,0.71
1209,-4.62,2.86
1210,-2.58,-1.21
1211,-0.77,-3.04
1212,-4.31,1.04
1213,1.59,-0.05
1214,-0.53,0.08
1215,-1.73,-3.31
1216,0.13,1.94
1217,0.23,1.68
1218,1.60,-3.71
1219,-0.69,-3.49
1220,1.78,-1.05
1221,0.57,3.49
1222,-0.37,2.73
1223,-2.18,2.11
1224,0.22,-2.41
1225,1.65,-0.94
1226,-1.06,-1.20
1227,-2.97,2.48
1228,-0.15,-4.32
1229,0.42,0.95
1230,-4.64,2.79
1231,2.22,-0.24
1232,-0.62,-0.26
1233,1.23,4.61
1234,0.91,0.07
1235,0.66,0.99
1236,2.39,-1.34
1237,-0.00,1.31
1238,1.60,1.63
1239,0.50,-0.45
1240,-0.66,-1.32
1241,0.06,0.38
1242,0.43,2.17
1243,-3.54,2.76
1244,-5.37,2.80
1245,0.67,-0.28
1246,-0.26,1.85
1247,-1.10,1.15
1248,-1.00,-0.61
1249,1.68,1.64
